name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"ASUS VivoBook S15 15.6"" Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-GN, Portable IPS Full HD NanoEdge Bezel Laptop, Backlit Keyboard",649,ASUS,Vivobook S,S530FA-DB51-GN,4,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"ASUS VivoBook S15 15.6"" Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-RD, Portable IPS Full HD NanoEdge Bezel Laptop, Backlit Keyboard",597,,,,,,,,,256,8,,,
"ASUS VivoBook S15, 15.6"" Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51, Full HD NanoEdge Bezel,  Gun Metal with Light Grey Trim Slim and Portable Laptop,",603.99,ASUS,Vivobook S,S530FA-DB51,4,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"Lenovo Laptop IdeaPad S540 81NH0019US AMD Ryzen 7 2nd Gen 3700U (2.30 GHz) 12 GB Memory 512 GB SSD AMD Radeon RX Vega 10 14.0"" Windows 10 Home 64-bit",779.99,Lenovo,IdeaPad S540,81NH0019US,4,Windows 10 Home 64-bit,AMD Ryzen 7 2nd Gen,3700U (2.30 GHz),Quad-core Processor,512 GB SSD,12 GB,AMD Radeon RX Vega 10,Shared system memory,"14.0"""
"HP Laptop EliteBook 745 G5 (4JB90UT#ABA) AMD Ryzen 7 1st Gen 2700U (2.20 GHz) 8 GB Memory 256 GB PCIe NVMe SSD AMD Radeon RX Vega 10 14.0"" Windows 10 Pro 64-Bit",634.04,HP,EliteBook,745 G5 (4JB90UT#ABA),5,Windows 10 Pro 64-Bit,AMD Ryzen 7 1st Gen,2700U (2.20 GHz),Quad-core Processor,256 GB PCIe NVMe SSD,8 GB,AMD Radeon RX Vega 10,Shared system memory,"14.0"""
"ASUS VivoBook S15 S532 Thin & Light Laptop, 15.6"" FHD, Intel Core i5-8265U CPU, 8 GB DDR4 RAM, PCIe NVMe 512 GB SSD, Windows 10 Home, S532FA-DB55-PK, Punk Pink",799.99,ASUS,VivoBook S15,S532FA-DB55-PK,4,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,512 GB M.2 PCIe Gen3x2 NVMe SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"ASUS VivoBook S15 S532 Thin & Light Laptop, 15.6"" FHD, Intel Core i5-8265U CPU, 8 GB DDR4 RAM, PCIe NVMe 512 GB SSD, Windows 10 Home, S532FA-DB55-GN, Moss Green",799.99,ASUS,VivoBook S15,S532FA-DB55-GN,4,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,512 GB M.2 PCIe Gen3x2 NVMe SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"Lenovo Laptop ThinkPad E585 20KV000WUS AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Pro 64-bit",514.99,Lenovo,ThinkPad E585,20KV000WUS,4,Windows 10 Pro 64-bit,AMD Ryzen 5 1st Gen,2500U (2.00 GHz),Quad-core Processor,256 GB M.2 PCIe NVMe SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"15.6"""
"ASUS VivoBook S15 S532 Thin & Light 15.6"" FHD, Intel Core i7-8565U CPU, GeForce MX250, 8 GB DDR4 RAM, 256 GB PCIe NVMe SSD, IR Camera, Windows 10 Home, S532FA-EB71, Transparent Silver",899.99,ASUS,VivoBook S15,S532FL-EB71,4,Windows 10 Home 64-bit,Intel Core i7 8th Gen,8565U (1.80 GHz),Quad-core Processor,256 GB M.2 PCIe Gen3x2 NVMe SSD,8 GB,NVIDIA GeForce MX250,2 GB,"15.6"""
"HP Laptop 250 G7 (5YN09UT#ABA) Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-bit",499.99,HP,,250 G7 (5YN09UT#ABA),4,Windows 10 Pro 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB PCIe NVMe M.2 SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
