name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"GIGABYTE AORUS 17 YA Gaming Laptop - 17.3"" FHD 240 Hz - Intel Core 9th Gen i7-9750H (2.60 GHz) - NVIDIA GeForce RTX 2080 GDDR6 8 GB - 16 GB DDR4 RAM - 1 TB M.2 PCIe SSD - Windows 10 - YA-7US2150SH","2,999.00",Aorus,,17 YA-7US2150SH,4,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,1 TB M.2 NVMe PCIe SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"HIDevolution ASUS ROG G703GX 17.3"" FHD 144Hz Gaming Laptop | 2.2 GHz i7-8750H, RTX 2080, 16GB 2666MHz RAM, PCIe 512GB SSD + 1TB SSHD | Authorized Performance Upgrades & Warranty","2,999.00",ASUS,ROG,G703GX-XS71,5,Windows 10 Pro,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,512 GB M.2 PCIe SSD + 1 TB 5400 RPM Firecuda SSHD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"Dell Precision 7540 15.6"" FHD Laptop i7-9850H 32GB 512GB SSD W10P Nvidia T1000","2,962.99",Dell,,,4,,,,,,,,,"15.6"""
"ROG Zephyrus S Ultra Slim Gaming Laptop, 15.6"" 144 Hz IPS-Type Full HD, GeForce RTX 2080, Intel Core i7-9750H Processor, 16 GB DDR4, 1 TB PCIe NVMe SSD, Aura Sync RGB, Windows 10 Pro, GX531GX-XB77","2,927.99",ASUS,ROG Zephyrus S,GX531GX-XB77,4,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,1 TB PCIe NVMe Hyper Drive SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"15.6"""
"ASUS ROG Zephrus S GX531GX-XB76 15.6"" 240 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 16 GB Memory 1 TB SSD Windows 10 Pro 64-bit Gaming Laptop","2,899.99",ASUS,ROG Zephrus S,GX531GX-XB76,4,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,1 TB PCIe Gen3x4 SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"15.6"""
"HIDevolution ASUS ROG Zephyrus S GX701GX 17.3"" FHD 144Hz | 2.6GHz i7-9750H, RTX 2080 Max-Q, 32GB 2666MHz RAM, PCIe 1TB SSD | Authorized Performance Upgrades & Warranty","2,899.00",ASUS,ROG Zephrus S,GX701GX-XB78,5,Windows 10 Pro,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,1 TB M.2 PCIe NVMe SSD,32 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"MSI GS Series GS75 Stealth-1074 17.3"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 Max-Q 32 GB Memory 1 TB NVMe SSD Windows 10 Home 64-bit Gaming Laptop","2,899.00",MSI,GS Series,GS75 Stealth-1074,4,Windows 10 Home 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,1 TB NVMe SSD,32 GB,NVIDIA GeForce RTX 2080 Max-Q,8 GB,"17.3"""
"MSI GS Series GS65 Stealth-667 15.6"" 240 Hz Intel Core i9 9th Gen 9880H (2.30 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop","2,899.00",MSI,GS Series,GS65 Stealth-667,4,Windows 10 Pro 64-bit,Intel Core i9 9th Gen,9880H (2.30 GHz),8-core Processor,1 TB NVMe SSD,32 GB,NVIDIA GeForce RTX 2070,8 GB,"15.6"""
"MSI GE75 9SG-423CA Raider 17.3"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 16 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop","2,875.97",MSI,GE Series,GE75 9SG-423CA Raider,4,Windows 10 Home 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,512 GB NVMe SSD + 1 TB SATA 7200 RPM HDD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"MSI GE75 9SG-423CA Raider 17.3"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 16 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop","2,875.97",MSI,GE Series,GE75 9SG-423CA Raider,4,Windows 10 Home 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,512 GB NVMe SSD + 1 TB SATA 7200 RPM HDD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"MSI GE Series GE75 Raider-653 17.3"" 144 Hz IPS Intel Core i9 9th Gen 9880H (2.30 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB NVMe SSD Windows 10 home 64-bit Gaming Laptop","2,816.07",MSI,GE Series,GE75 Raider-653,4,Windows 10 Pro 64-bit,Intel Core i9 9th Gen,9880H (2.30 GHz),8-core Processor,1 TB NVMe SSD,32 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"""
"ASUS ROG G703GI-XS71 17.3"" 144 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1080 16 GB Memory 256 GB SSD 2 TB SSHD Windows 10 Pro 64-bit Gaming Laptop","2,799.99",ASUS,ROG,G703GI-XS71,4,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,2 TB SSHD + 256 GB SSD RAID 0,16 GB,NVIDIA GeForce GTX 1080,8 GB,"17.3"""
"ASUS ROG G703GI-XS71 17.3"" 144 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1080 16 GB Memory 256 GB SSD 2 TB SSHD Windows 10 Pro 64-bit Gaming Laptop","2,799.99",ASUS,ROG,G703GI-XS71,4,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,2 TB SSHD + 256 GB SSD RAID 0,16 GB,NVIDIA GeForce GTX 1080,8 GB,"17.3"""
"MSI GS75 Stealth-202 17.3"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2080 Max-Q 16 GB Memory 256 GB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop","2,799.00",MSI,GS Series,GS75 Stealth-202,4,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,256 GB NVMe SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"MSI GS Series GS75 Stealth-480 17.3"" 144 Hz IPS Intel Core i9 9th Gen 9880H (2.30 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop","2,798.60",MSI,GS Series,GS75 Stealth-480,5,Windows 10 Pro 64-bit,Intel Core i9 9th Gen,9880H (2.30 GHz),8-core Processor,1 TB NVMe SSD,32 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"""
"MSI GE75 Raider-283 GE75283 Gaming and Entertainment Laptop (Intel i7-9750H 6-Core, 32GB RAM, 2TB  SATA SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA RTX 2080, Wifi, Bluetooth, Win 10 Home)","2,758.99",MSI,,,4,,,,,,,,,"17.3"""
"HIDevolution Alienware Area-51M 17.3"" FHD 144Hz Gaming Laptop | Black | 3.6 GHz i9-9900K, RTX 2060, 8GB 2400MHz RAM, 1TB SSHD | Performance Upgrades & Warranty","2,749.00",DELL,Area-51M,Alienware Area-51M,4,Windows 10 Home,Intel Core i9 9th Gen,9900K (3.60 GHz),8-core Processor,1 TB (+8 GB SSD) SSHD,8 GB,NVIDIA GeForce RTX 2060,6 GB,"17.3"""
"Open Box: ASUS ROG Zephyrus S GX701 Gaming Laptop, 17.3"" 144 Hz Pantone Validated FHD IPS, GeForce RTX 2080, Intel Core i7-8750H CPU, 16 GB DDR4, 1 TB PCIe NVMe SSD Hyper Drive, Windows 10 Pro - GX701GX-XS76","2,748.99",ASUS,ROG Zephyrus S,GX701GX-XS76,4,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,1 TB PCIe NVMe SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"Open Box: ASUS ROG Zephyrus S GX701 Gaming Laptop, 17.3"" 144 Hz Pantone Validated FHD IPS, GeForce RTX 2080, Intel Core i7-8750H CPU, 16 GB DDR4, 1 TB PCIe NVMe SSD Hyper Drive, Windows 10 Pro - GX701GX-XS76","2,748.99",ASUS,ROG Zephyrus S,GX701GX-XS76,4,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,1 TB PCIe NVMe SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"MSI GT Series GT63 TITAN-033 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 256 GB NVMe SSD 1 TB HDD Windows 10 Pro 64-bit Gaming Laptop","2,721.29",MSI,GT Series,GT63 TITAN-033,5,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,1 TB 7200 RPM HDD + 256 GB NVMe SSD,16 GB,NVIDIA GeForce RTX 2070,8 GB,"15.6"""
"GIGABYTE AERO 17 HDR XA-7US4130SQ 17.3"" 4K/UHD 60 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 512 GB SSD Windows 10 Pro 64-bit Gaming Laptop","2,699.00",GIGABYTE,,AERO 17 HDR XA-7US4130SQ,5,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,512 GB M.2 PCIe NVMe SSD,16 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"" 4K/UHD"
"MSI P75 Creator Gaming and Entertainment Laptop (Intel i9-9880H 8-Core, 32GB RAM, 1TB SSD, 17.3"" Full HD (1920x1080), NVIDIA RTX 2070 (Max-Q), Fingerprint, Wifi, Bluetooth, Webcam, Win 10 Pro)","2,699.00",MSI,P75 Creator,,4,Windows 10 Pro,Intel Core i9 9th Gen,2.3 GHz,8-core Processor,,32 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"""
"HIDevolution Razer Blade Pro 17 17.3” FHD 144Hz | Black | 2.6 GHz i7-9750H, RTX 2060, 16GB 2666MHz RAM, 512GB PCIe SSD | Performance Upgrades & Warranty","2,679.00",Razer,Blade Pro 17,Razer Blade Pro 17,4,Windows 10 Home,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,512 GB M.2 PCIe 3.0 x4 NVMe SSD,16 GB,NVIDIA GeForce RTX 2060,6 GB,"17.3"""
"Open Box: MSI GT Series 17.3"" 4K/UHD GT73VR Titan Pro 4K-200 Intel Core i7 6820HK (2.70 GHz) GeForce GTX 1080 VR Ready 64 GB Memory 1 TB SSD (PCIE Gen3x4) 1 TB HDD Windows 10 Home 64-Bit G-Sync Gaming Laptop","2,677.00",MSI,GT Series,GT73VR Titan Pro 4K-200,4,Windows 10 Home 64-Bit,Intel Core i7 6th Gen,6820HK (2.70 GHz),Quad-core Processor,1 TB SSD + 1 TB HDD,64 GB,NVIDIA GeForce GTX 1080,8 GB,"17.3"" 4K/UHD"
